text,label,language
اسٹیٹ بینک نے معیشت کے حوالے سے نئی رپورٹ جاری کر دی۔ (Ref: 6634),0,ur
ہر شہری کو 50 ہزار روپے کی امداد ملے گی، ابھی فارم بھریں۔ (Ref: 1791),1,ur
International markets showed a steady growth in the last quarter. (Ref: 8565),0,en
اسٹیٹ بینک نے معیشت کے حوالے سے نئی رپورٹ جاری کر دی۔ (Ref: 1726),0,ur
بڑی خبر! مریخ پر زندگی کے آثار مل گئے، تصاویر وائرل۔ (Ref: 7093),1,ur
ہر شہری کو 50 ہزار روپے کی امداد ملے گی، ابھی فارم بھریں۔ (Ref: 7119),1,ur
International markets showed a steady growth in the last quarter. (Ref: 6853),0,en
The government announced a strategic update on the national budget. (Ref: 1203),0,en
NASA confirms that an asteroid made of diamonds is hitting Earth. (Ref: 8276),1,en
بڑی خبر! مریخ پر زندگی کے آثار مل گئے، تصاویر وائرل۔ (Ref: 1727),1,ur
International markets showed a steady growth in the last quarter. (Ref: 8150),0,en
NASA confirms that an asteroid made of diamonds is hitting Earth. (Ref: 3723),1,en
اسٹیٹ بینک نے معیشت کے حوالے سے نئی رپورٹ جاری کر دی۔ (Ref: 8041),0,ur
International markets showed a steady growth in the last quarter. (Ref: 7337),0,en
بڑی خبر! مریخ پر زندگی کے آثار مل گئے، تصاویر وائرل۔ (Ref: 2588),1,ur
The government announced a strategic update on the national budget. (Ref: 2354),0,en
Breaking: Scientists found a secret tunnel to the center of the Earth. (Ref: 6599),1,en
International markets showed a steady growth in the last quarter. (Ref: 6043),0,en
ہر شہری کو 50 ہزار روپے کی امداد ملے گی، ابھی فارم بھریں۔ (Ref: 7017),1,ur
بڑی خبر! مریخ پر زندگی کے آثار مل گئے، تصاویر وائرل۔ (Ref: 4589),1,ur
اسٹیٹ بینک نے معیشت کے حوالے سے نئی رپورٹ جاری کر دی۔ (Ref: 7174),0,ur
Breaking: Scientists found a secret tunnel to the center of the Earth. (Ref: 1414),1,en
ہر شہری کو 50 ہزار روپے کی امداد ملے گی، ابھی فارم بھریں۔ (Ref: 6209),1,ur
NASA confirms that an asteroid made of diamonds is hitting Earth. (Ref: 8185),1,en
اسٹیٹ بینک نے معیشت کے حوالے سے نئی رپورٹ جاری کر دی۔ (Ref: 4760),0,ur
Breaking: Scientists found a secret tunnel to the center of the Earth. (Ref: 3754),1,en
بڑی خبر! مریخ پر زندگی کے آثار مل گئے، تصاویر وائرل۔ (Ref: 7524),1,ur
NASA confirms that an asteroid made of diamonds is hitting Earth. (Ref: 8621),1,en
International markets showed a steady growth in the last quarter. (Ref: 2950),0,en
NASA confirms that an asteroid made of diamonds is hitting Earth. (Ref: 8980),1,en
The government announced a strategic update on the national budget. (Ref: 8821),0,en
حکومت نے آج نئے ترقیاتی منصوبوں کا افتتاح کر دیا۔ (Ref: 6770),0,ur
Breaking: Scientists found a secret tunnel to the center of the Earth. (Ref: 1162),1,en
International markets showed a steady growth in the last quarter. (Ref: 8331),0,en
ہر شہری کو 50 ہزار روپے کی امداد ملے گی، ابھی فارم بھریں۔ (Ref: 5684),1,ur
International markets showed a steady growth in the last quarter. (Ref: 6168),0,en
NASA confirms that an asteroid made of diamonds is hitting Earth. (Ref: 6886),1,en
