text,label,language
ایک نامعلوم ہیکر نے ایک جادوئی پتھر کی مدد سے ایک ایسی چپ بنائی ہے جو ذہن پڑھ سکتی ہے۔ فیس بک کل سے اس پر پابندی لگا دے گا۔ [ID-689921],1,ur
ایک نامعلوم ہیکر نے راتوں رات امیر ہونے کے لیے ایک ایسا چشمہ ملا ہے جس کا پانی پینے سے موت نہیں آتی۔ سائنسدان بھی اس واقعے پر حیران ہیں۔ [ID-442519],1,ur
وفاقی کابینہ نے سرکاری اعلامیے کے مطابق نئے بجٹ کی منظوری دے دی ہے۔ جس کی باقاعدہ نوٹیفکیشن جاری کر دی گئی ہے۔ [ID-840930],0,ur
"A secret society using 6G network towers is replacing world leaders with robots. Wake up, people! [ID-742484]",1,en
The World Health Organization following the emergency meeting confirmed the deployment of new resources. This move is expected to stabilize the market. [ID-144770],0,en
Global health experts in a recent press release proposed a shift in foreign policy. The decision has been welcomed by international observers. [ID-861262],0,en
بریکنگ نیوز: ایک پراسرار غار سے سورج کو 10 دن کے لیے بند کرنے کا اعلان کیا ہے۔ حکومت اس خبر کو چھپانے کی کوشش کر رہی ہے۔ [ID-513785],1,ur
وفاقی کابینہ نے ایک اہم پریس کانفرنس کے دوران ٹیکسوں میں اضافے کی تجویز مسترد کر دی ہے۔ یہ فیصلہ ملکی مفاد میں کیا گیا ہے۔ [ID-853294],0,ur
حکومت نے قومی اسمبلی میں توانائی کے بحران پر قابو پانے کی یقین دہانی کروائی ہے۔ جس کا اطلاق فوری طور پر ہوگا۔ [ID-482333],0,ur
وائرل ویڈیو میں راتوں رات امیر ہونے کے لیے ایک ایسا چشمہ ملا ہے جس کا پانی پینے سے موت نہیں آتی۔ یہ دنیا کا سب سے بڑا راز ہے۔ [ID-530449],1,ur
SHOCKING: inside a billionaire's bunker is turning seawater into liquid gold. Protect yourself before it's too late. [ID-408322],1,en
A viral TikTok video shows using mind-control frequencies has successfully cloned a dinosaur army. Doctors are absolutely terrified. [ID-531099],1,en
Tech giants at the global conference announced a comprehensive climate action plan. This move is expected to stabilize the market. [ID-481400],0,en
A rogue AI using a cursed artifact has discovered that the Earth is a flat disc. Send your credit card info to unlock the truth. [ID-751762],1,en
Leading economists at the global conference highlighted the need for renewable energy investments. This marks a historic milestone. [ID-510564],0,en
وزارت صحت نے عالمی منڈی کی صورتحال دیکھتے ہوئے نئے بجٹ کی منظوری دے دی ہے۔ عوام نے اس پر ملے جلے ردعمل کا اظہار کیا ہے۔ [ID-571429],0,ur
Tech giants in an official statement approved the new cybersecurity framework. Further details will be released shortly. [ID-297696],0,en
محکمہ موسمیات نے قومی اسمبلی میں قرضوں کی قسط ادا کرنے کی تصدیق کی ہے۔ اس سے بین الاقوامی سطح پر اعتماد بڑھے گا۔ [ID-236983],0,ur
عالمی بینک نے حالیہ اجلاس میں نئی تجارتی پالیسی منظور کر لی ہے۔ عوام نے اس پر ملے جلے ردعمل کا اظہار کیا ہے۔ [ID-109841],0,ur
سائنسدانوں کا دعویٰ: راتوں رات امیر ہونے کے لیے چاند پر زمین فروخت کرنا شروع کر دی ہے۔ حکومت اس خبر کو چھپانے کی کوشش کر رہی ہے۔ [ID-364351],1,ur
عالمی بینک نے پیر کے روز توانائی کے بحران پر قابو پانے کی یقین دہانی کروائی ہے۔ جس کی باقاعدہ نوٹیفکیشن جاری کر دی گئی ہے۔ [ID-236628],0,ur
The World Health Organization in an official statement proposed a shift in foreign policy. Critics argue it might face legal challenges. [ID-695382],0,en
An anonymous whistleblower inside a billionaire's bunker is selling potions that guarantee lottery wins. Click here before this gets taken down! [ID-355860],1,en
حیرت انگیز انکشاف: 500 سال پرانی کتاب میں پلاسٹک سے سونا بنانے کا طریقہ ڈھونڈ لیا ہے۔ ابھی اس لنک پر کلک کریں اور خود دیکھیں۔ [ID-750193],1,ur
بریکنگ نیوز: زمین کے اندر چھپے شہر میں انسانوں کو غائب کرنے والی مشین بنا لی ہے۔ حکومت اس خبر کو چھپانے کی کوشش کر رہی ہے۔ [ID-701418],1,ur
A rogue AI in a parallel universe has found a way to make people immortal. Doctors are absolutely terrified. [ID-216071],1,en
وفاقی کابینہ نے پیر کے روز عوام کے لیے ریلیف پیکیج کا اعلان کیا ہے۔ جس سے معیشت پر مثبت اثرات مرتب ہوں گے۔ [ID-308423],0,ur
وزارت صحت نے قومی اسمبلی میں نئی تعلیمی پالیسی متعارف کروائی ہے۔ ماہرین نے اس فیصلے کو سراہا ہے۔ [ID-121833],0,ur
The Supreme Court according to the latest data finalized the educational reform budget. This marks a historic milestone. [ID-460394],0,en
سائنسدانوں کا دعویٰ: بغیر پٹرول چلنے والی گاڑی میں ایک ایسی چپ بنائی ہے جو ذہن پڑھ سکتی ہے۔ حکومت اس خبر کو چھپانے کی کوشش کر رہی ہے۔ [ID-331297],1,ur
URGENT ALERT: by manipulating the stock market has created a zombie virus in a lab. Doctors are absolutely terrified. [ID-976326],1,en
حیرت انگیز انکشاف: زمین کے اندر چھپے شہر میں پلاسٹک سے سونا بنانے کا طریقہ ڈھونڈ لیا ہے۔ فیس بک کل سے اس پر پابندی لگا دے گا۔ [ID-205164],1,ur
Global health experts after rigorous analysis reported a steady decrease in inflation rates. This move is expected to stabilize the market. [ID-340810],0,en
محکمہ موسمیات نے حالیہ اجلاس میں عوام کے لیے ریلیف پیکیج کا اعلان کیا ہے۔ یہ فیصلہ ملکی مفاد میں کیا گیا ہے۔ [ID-389023],0,ur
The World Health Organization according to the latest data approved the new cybersecurity framework. The resolution passed with a majority vote. [ID-686453],0,en
The UN council at the global conference reported a steady decrease in inflation rates. This move is expected to stabilize the market. [ID-177421],0,en
A secret society using mind-control frequencies is selling potions that guarantee lottery wins. This is the ultimate secret they kept from us. [ID-488643],1,en
حیرت انگیز انکشاف: 500 سال پرانی کتاب میں ایک ایسی چپ بنائی ہے جو ذہن پڑھ سکتی ہے۔ ابھی اس لنک پر کلک کریں اور خود دیکھیں۔ [ID-459850],1,ur
A viral TikTok video shows through a portal in Antarctica has found a way to make people immortal. Share this with 10 friends to stay safe. [ID-464825],1,en
اسٹیٹ بینک نے میڈیا بریفنگ میں ٹیکسوں میں اضافے کی تجویز مسترد کر دی ہے۔ اپوزیشن نے اس پر تحفظات کا اظہار کیا ہے۔ [ID-825096],0,ur
حکومت نے حالیہ اجلاس میں نئی تجارتی پالیسی منظور کر لی ہے۔ یہ فیصلہ ملکی مفاد میں کیا گیا ہے۔ [ID-741734],0,ur
A secret society through a portal in Antarctica has discovered that the Earth is a flat disc. Send your credit card info to unlock the truth. [ID-352420],1,en
