text,label,language
[5-March-2024] بڑی خبر! اب آپ بغیر پٹرول کے گاڑی چلا سکیں گے، اس نئی چپ کا استعمال کریں۔ - NewsID: 14422205,1,ur
[15-March-2024] European Union regulators have fined major tech companies for antitrust violations. - NewsID: 9186491,0,en
[10-March-2024] Report: پاکستان اور ترکیہ کے درمیان دفاعی پیداوار میں تعاون بڑھانے کے معاہدے پر دستخط۔ - NewsID: 15530907,0,ur
[8-March-2024] Report: Health Alert: Scientists found that drinking seawater at midnight regenerates cells. - NewsID: 14195489,1,en
[6-March-2024] Analysis: وزیر اعظم کا بڑا اعلان: ہر شہری کو گھر بیٹھے آئی فون اور لیپ ٹاپ دیا جائے گا۔ - NewsID: 8724246,1,ur
[28-March-2024] Verified: Clinical trials for the new Alzheimer's drug show a 30% reduction in cognitive decline. - NewsID: 16706498,0,en
[11-March-2024] Analysis: پاکستان اور ترکیہ کے درمیان دفاعی پیداوار میں تعاون بڑھانے کے معاہدے پر دستخط۔ - NewsID: 15975187,0,ur
[17-March-2024] بڑی خبر! اب آپ بغیر پٹرول کے گاڑی چلا سکیں گے، اس نئی چپ کا استعمال کریں۔ - NewsID: 11469660,1,ur
[3-March-2024] Report: عالمی مالیاتی فنڈ (IMF) نے پاکستان کے لیے قرضے کی اگلی قسط کی منظوری دے دی۔ - NewsID: 9865594,0,ur
[8-March-2024] Verified: Health Alert: Scientists found that drinking seawater at midnight regenerates cells. - NewsID: 2352866,1,en
[8-March-2024] Analysis: Clinical trials for the new Alzheimer's drug show a 30% reduction in cognitive decline. - NewsID: 1933960,0,en
[9-March-2024] Breaking: ناسا کے جیمز ویب ٹیلی سکوپ نے کائنات کی قدیم ترین کہکشاں دریافت کر لی۔ - NewsID: 13870721,0,ur
[8-March-2024] Report: A groundbreaking study in Nature journal reveals new insights into neural plasticity. - NewsID: 10610260,0,en
[10-March-2024] Analysis: The Federal Reserve chair hinted at a potential rate hike following the inflation data. - NewsID: 13335034,0,en
[20-March-2024] سپریم کورٹ نے آئینی درخواستوں پر سماعت مکمل کر کے فیصلہ محفوظ کر لیا۔ - NewsID: 6387233,0,ur
[19-March-2024] Report: Instant Wealth: A secret algorithm discovered in 1990 can now predict lottery numbers. - NewsID: 1597881,1,en
[21-March-2024] Report: عالمی مالیاتی فنڈ (IMF) نے پاکستان کے لیے قرضے کی اگلی قسط کی منظوری دے دی۔ - NewsID: 8247930,0,ur
